#  t[i]  y[i]  e[i]
0.47 5.49 0.26
1.41 4.08 0.12
2.36 3.54 0.27
3.3 2.61 0.1
4.24 2.09 0.15
5.18 1.91 0.11
6.13 1.55 0.13
7.07 1.47 0.07
8.01 1.45 0.15
8.95 1.25 0.09


# t, A*exp(-t/T)+B
0.47 5.39981
0.6396 5.1399
0.8092 4.89563
0.9788 4.66605
1.1484 4.45029
1.318 4.24751
1.4876 4.05693
1.6572 3.87782
1.8268 3.70948
1.9964 3.55127
2.166 3.40258
2.3356 3.26284
2.5052 3.13151
2.6748 3.00808
2.8444 2.89207
3.014 2.78304
3.1836 2.68058
3.3532 2.58428
3.5228 2.49377
3.6924 2.40871
3.862 2.32877
4.0316 2.25363
4.2012 2.18302
4.3708 2.11666
4.5404 2.05429
4.71 1.99567
4.8796 1.94058
5.0492 1.8888
5.2188 1.84014
5.3884 1.79441
5.558 1.75143
5.7276 1.71103
5.8972 1.67307
6.0668 1.63739
6.2364 1.60385
6.406 1.57234
6.5756 1.54272
6.7452 1.51488
6.9148 1.48872
7.0844 1.46413
7.254 1.44102
7.4236 1.4193
7.5932 1.39889
7.7628 1.3797
7.9324 1.36167
8.102 1.34473
8.2716 1.3288
8.4412 1.31384
8.6108 1.29977
8.7804 1.28655
8.95 1.27413
9.1196 1.26245
